datamaskinid, bygg, rom, rad
D51701, Hulda Garborg, O-108, 1
D51628, Hulda Garborg, O-108, 1
D51602, Hulda Garborg, O-108, 1
D51556, Hulda Garborg, O-108, 1
D51553, Hulda Garborg, O-108, 1
