datamaskinid, bygg, rom, rad
D51545, Hagbard-Line, HL U-315, 1
D51646, Hagbard-Line, HL U-315, 1
D51650, Hagbard-Line, HL U-315, 1
D51622, Hagbard-Line, HL U-315, 1
D51639, Hagbard-Line, HL U-315, 1
D51643, Hagbard-Line, HL U-315, 1
D51686, Hagbard-Line, HL U-315, 1
D51657, Hagbard-Line, HL U-315, 1
D51640, Hagbard-Line, HL U-315, 1
D51626, Hagbard-Line, HL U-315, 1
D51683, Hagbard-Line, HL U-315, 1
D51624, Hagbard-Line, HL U-315, 1
D51638, Hagbard-Line, HL U-315, 1
D51637, Hagbard-Line, HL U-315, 1
D51615, Hagbard-Line, HL U-315, 1
D51605, Hagbard-Line, HL U-315, 1
D51617, Hagbard-Line, HL U-315, 1
D51625, Hagbard-Line, HL U-315, 1
D51536, Hagbard-Line, HL U-315, 1
D51618, Hagbard-Line, HL U-315, 1
D51606, Hagbard-Line, HL U-315, 1
